10us,Module,Name,DemangledName,Type,RawType,Size,DefaultValues,Comment,IsReadOnly
0x85A8F0,,_ZTV16FxInfoHeatHaze_c,`vtable for'FxInfoHeatHaze_c,,,1,,,1
0x85A8FC,,_ZTV13FxInfoTrail_c,`vtable for'FxInfoTrail_c,,,1,,,1
0x85A908,,_ZTV12FxInfoFlat_c,`vtable for'FxInfoFlat_c,,,1,,,1
0x85A914,,_ZTV11FxInfoDir_c,`vtable for'FxInfoDir_c,,,1,,,1
0x85A920,,_ZTV19FxInfoAnimTexture_c,`vtable for'FxInfoAnimTexture_c,,,1,,,1
0x85A92C,,_ZTV19FxInfoColourRange_c,`vtable for'FxInfoColourRange_c,,,1,,,1
0x85A938,,_ZTV15FxInfoSelfLit_c,`vtable for'FxInfoSelfLit_c,,,1,,,1
0x85A944,,_ZTV20FxInfoColourBright_c,`vtable for'FxInfoColourBright_c,,,1,,,1
0x85A950,,_ZTV13FxInfoSmoke_c,`vtable for'FxInfoSmoke_c,,,1,,,1
0x85A95C,,_ZTV14FxInfoEmRate_c,`vtable for'FxInfoEmRate_c,,,1,,,1
0x85A968,,_ZTV14FxInterpInfo_c,`vtable for'FxInterpInfo_c,,,1,,,1
0x85A970,,_ZTV19FxInterpInfoFloat_c,`vtable for'FxInterpInfoFloat_c,,,1,,,1
0x85A978,,_ZTV18FxInterpInfoU255_c,`vtable for'FxInterpInfoU255_c,,,1,,,1
0x85A980,,_ZTV16FxInterpInfo32_c,`vtable for'FxInterpInfo32_c,,,1,,,1
0x85A988,,_ZTV17FxInterpInfo255_c,`vtable for'FxInterpInfo255_c,,,1,,,1
0x85A9C4,,FxPrimEmitterBaseData::VMT,FxPrimEmitterBaseData__VMT,,,1,,,1
0x85A9E0,,_ZTV8FxPrim_c,`vtable for'FxPrim_c,,,1,,,1
0x85AA94,,_ZTV18CAEFireAudioEntity,`vtable for'CAEFireAudioEntity,,,1,,,1
0x85AAB0,,_ZTV11CEventGroup,`vtable for'CEventGroup,,,1,,,1
0x85AAB4,,_ZTV17CEventGlobalGroup,`vtable for'CEventGlobalGroup,,,1,,,1
0x85AB38,,_ZTV6CEvent,`vtable for'CEvent,,,1,,,1
0x85AB80,,_ZTV22CEventEditableResponse,`vtable for'CEventEditableResponse,,,1,,,1
0x85ABE0,,_ZTV13CEventGunShot,`vtable for'CEventGunShot,,,1,,,1
0x85AC28,,_ZTV22CEventVehicleCollision,`vtable for'CEventVehicleCollision,,,1,,,1
0x85AC68,,_ZTV25CEventPedCollisionWithPed,`vtable for'CEventPedCollisionWithPed,,,1,,,1
0x85ACA8,,_ZTV21CEventObjectCollision,`vtable for'CEventObjectCollision,,,1,,,1
0x85ACE8,,_ZTV23CEventBuildingCollision,`vtable for'CEventBuildingCollision,,,1,,,1
0x85AD30,,_ZTV19CEventDraggedOutCar,`vtable for'CEventDraggedOutCar,,,1,,,1
0x85AD78,,_ZTV12CEventDamage,`vtable for'CEventDamage,,,1,,,1
0x85ADC0,,_ZTV11CEventDeath,`vtable for'CEventDeath,,,1,,,1
0x85AE00,,_ZTV13CEventDeadPed,`vtable for'CEventDeadPed,,,1,,,1
0x85AE48,,_ZTV16CEventGroupEvent,`vtable for'CEventGroupEvent,,,1,,,1
0x85AE88,,_ZTV25CEventPotentialGetRunOver,`vtable for'CEventPotentialGetRunOver,,,1,,,1
0x85AED0,,_ZTV30CEventPotentialWalkIntoVehicle,`vtable for'CEventPotentialWalkIntoVehicle,,,1,,,1
0x85AF18,,_ZTV29CEventPotentialWalkIntoObject,`vtable for'CEventPotentialWalkIntoObject,,,1,,,1
0x85AF60,,_ZTV26CEventPotentialWalkIntoPed,`vtable for'CEventPotentialWalkIntoPed,,,1,,,1
0x85AFA8,,_ZTV22CEventVehicleHitAndRun,`vtable for'CEventVehicleHitAndRun,,,1,,,1
0x85AFE8,,_ZTV25CEventPedEnteredMyVehicle,`vtable for'CEventPedEnteredMyVehicle,,,1,,,1
0x85B030,,_ZTV13CEventRevived,`vtable for'CEventRevived,,,1,,,1
0x85B070,,_ZTV17CEventChatPartner,`vtable for'CEventChatPartner,,,1,,,1
0x85B0B0,,_ZTV13CEventSexyPed,`vtable for'CEventSexyPed,,,1,,,1
0x85B0F8,,_ZTV17CEventSexyVehicle,`vtable for'CEventSexyVehicle,,,1,,,1
0x85B138,,_ZTV16CEventPedToChase,`vtable for'CEventPedToChase,,,1,,,1
0x85B178,,_ZTV15CEventPedToFlee,`vtable for'CEventPedToFlee,,,1,,,1
0x85B1B8,,_ZTV15CEventAttractor,`vtable for'CEventAttractor,,,1,,,1
0x85B210,,_ZTV20CEventVehicleToSteal,`vtable for'CEventVehicleToSteal,,,1,,,1
0x85B250,,_ZTV21CEventAcquaintancePed,`vtable for'CEventAcquaintancePed,,,1,,,1
0x85B298,,_ZTV19CEventVehicleThreat,`vtable for'CEventVehicleThreat,,,1,,,1
0x85B2E0,,_ZTV18CEventKnockOffBike,`vtable for'CEventKnockOffBike,,,1,,,1
0x85B330,,_ZTV16CEventGunAimedAt,`vtable for'CEventGunAimedAt,,,1,,,1
0x85B378,,_ZTV19CEventScriptCommand,`vtable for'CEventScriptCommand,,,1,,,1
0x85B3C0,,_ZTV11CEventInAir,`vtable for'CEventInAir,,,1,,,1
0x85B400,,_ZTV17CEventVehicleDied,`vtable for'CEventVehicleDied,,,1,,,1
0x85B440,,_ZTV19CEventVehicleOnFire,`vtable for'CEventVehicleOnFire,,,1,,,1
0x85B488,,_ZTV22CEventHitByWaterCannon,`vtable for'CEventHitByWaterCannon,,,1,,,1
0x85B4C8,,_ZTV13CEventInWater,`vtable for'CEventInWater,,,1,,,1
0x85B508,,_ZTV16CEventStuckInAir,`vtable for'CEventStuckInAir,,,1,,,1
0x85B548,,_ZTV23CEventCopCarBeingStolen,`vtable for'CEventCopCarBeingStolen,,,1,,,1
0x85B588,,_ZTV19CEventVehicleDamage,`vtable for'CEventVehicleDamage,,,1,,,1
0x85B5D0,,_ZTV13CEventSpecial,`vtable for'CEventSpecial,,,1,,,1
0x85B618,,_ZTV25CEventGotKnockedOverByCar,`vtable for'CEventGotKnockedOverByCar,,,1,,,1
0x85B660,,_ZTV19CEventCarUpsideDown,`vtable for'CEventCarUpsideDown,,,1,,,1
0x85B6A0,,_ZTV27CEventPotentialWalkIntoFire,`vtable for'CEventPotentialWalkIntoFire,,,1,,,1
0x85B6E8,,_ZTV16CEventFireNearby,`vtable for'CEventFireNearby,,,1,,,1
0x85B730,,_ZTV22CEventGunShotWhizzedBy,`vtable for'CEventGunShotWhizzedBy,,,1,,,1
0x85B778,,_ZTV21CEventSeenPanickedPed,`vtable for'CEventSeenPanickedPed,,,1,,,1
0x85B7C0,,_ZTV15CEventAreaCodes,`vtable for'CEventAreaCodes,,,1,,,1
0x85B800,,_ZTV26CEventPlayerCommandToGroup,`vtable for'CEventPlayerCommandToGroup,,,1,,,1
0x85B848,,_ZTV12CEventDanger,`vtable for'CEventDanger,,,1,,,1
0x85B898,,_ZTV29CEventLeaderExitedCarAsDriver,`vtable for'CEventLeaderExitedCarAsDriver,,,1,,,1
0x85B8DC,,_ZTV22CTaskSimpleOnEscalator,`vtable for'CTaskSimpleOnEscalator,,,1,,,1
0x85B904,,_ZTV46CTaskComplexUseClosestFreeScriptedAttractorRun,`vtable for'CTaskComplexUseClosestFreeScriptedAttractorRun,,,1,,,1
0x85B930,,_ZTV49CTaskComplexUseClosestFreeScriptedAttractorSprint,`vtable for'CTaskComplexUseClosestFreeScriptedAttractorSprint,,,1,,,1
0x85B95C,,_ZTV36CTaskComplexCarDriveMissionFleeScene,`vtable for'CTaskComplexCarDriveMissionFleeScene,,,1,,,1
0x85B994,,_ZTV34CTaskComplexCarDriveMissionKillPed,`vtable for'CTaskComplexCarDriveMissionKillPed,,,1,,,1
0x85BB9C,,_ZTV14CBaseModelInfo,`vtable for'CBaseModelInfo,,,1,,Abstract class CBaseModelInfo,1
0x85BBF0,,_ZTV16CAtomicModelInfo,`vtable for'CAtomicModelInfo,,,1,,,1
0x85BC30,,_ZTV22CDamageAtomicModelInfo,`vtable for'CDamageAtomicModelInfo,,,1,,,1
0x85BC70,,_ZTV19CLodAtomicModelInfo,`vtable for'CLodAtomicModelInfo,,,1,,,1
0x85BCB0,,_ZTV14CTimeModelInfo,`vtable for'CTimeModelInfo,,,1,,,1
0x85BCF0,,_ZTV17CLodTimeModelInfo,`vtable for'CLodTimeModelInfo,,,1,,,1
0x85BD30,,_ZTV15CClumpModelInfo,`vtable for'CClumpModelInfo,,,1,,,1
0x85BD78,,_ZTV16CWeaponModelInfo,`vtable for'CWeaponModelInfo,,,1,,,1
0x85BDC0,,_ZTV13CPedModelInfo,`vtable for'CPedModelInfo,,,1,,,1
0x85C5C8,,_ZTV17CVehicleModelInfo,`vtable for'CVehicleModelInfo,,,1,,,1
0x85C670,,__rwRasterConvTable,__rwRasterConvTable,rasterInfo,,88,,,1
0x85C6CC,,_ZTV27CAnimBlendStaticAssociation,`vtable for'CAnimBlendStaticAssociation,,,1,,,1
0x85C6D0,,_ZTV21CAnimBlendAssociation,`vtable for'CAnimBlendAssociation,,,1,,,1
0x85EF9C,,EAXPROPERTYID_EAX40_Source,EAXPROPERTYID_EAX40_Source,,,1,,,1
0x85EFDC,,EAXPROPERTYID_EAX40_FXSlot0,EAXPROPERTYID_EAX40_FXSlot0,,,1,,,1
0x85EFEC,,EAXPROPERTYID_EAX40_Context,EAXPROPERTYID_EAX40_Context,,,1,,,1
0x85F03C,,_ZTV15CAEAudioChannel,`vtable for'CAEAudioChannel,,,1,,,1
0x85F0BC,,__vt__IStream_85F0BC,_IStream_85F0BC::`vtbl',,,1,,,1
0x85F310,,_ZTV9CPedVoice,`vtable for'CPedVoice,,,1,,,1
0x85F330,,_ZTV27CAEPedlessSpeechAudioEntity,`vtable for'CAEPedlessSpeechAudioEntity,,,1,,,1
0x85F368,,_ZTV27CAEPoliceScannerAudioEntity,`vtable for'CAEPoliceScannerAudioEntity,,,1,,,1
0x85F370,,_vmt_CAudioFileQT,_vmt_CAudioFileQT,,,1,,,1
0x85F3CC,,_ZTV16CAEStaticChannel,`vtable for'CAEStaticChannel,,,1,,,1
0x85F3F0,,_ZTV19CAEStreamingChannel,`vtable for'CAEStreamingChannel,,,1,,,1
0x85F418,,_vmt_CAudioFile,_vmt_CAudioFile,,,1,,,1
0x85F438,,_ZTV22CAETwinLoopSoundEntity,`vtable for'CAETwinLoopSoundEntity,,,1,,,1
0x85F440,,WMT_DMOCATEGORY_VIDEO_WATERMARK,WMT_DMOCATEGORY_VIDEO_WATERMARK,,,1,,,1
0x85FB70,,WMMEDIATYPE_Audio,WMMEDIATYPE_Audio,,,1,,,1
0x860838,,riid,riid,IID,,16,,,1
0x860A68,,rclsid,rclsid,CLSID,,16,,,1
0x860AF0,,_VehicleAudioProperties,_VehicleAudioProperties,tVehicleAudioSettings,,72,,LANDSTAL,1
0x862CEC,,_ZTV21CAEVehicleAudioEntity,`vtable for'CAEVehicleAudioEntity,,,1,,,1
0x862D70,,_vmt_CAudioFileVorbis,_vmt_CAudioFileVorbis,,,1,,,1
0x862D90,,_vmt_CAudioFileWindowsMedia,_vmt_CAudioFileWindowsMedia,,,1,,,1
0x862DE8,,_vmt_CAudioFileWav,_vmt_CAudioFileWav,,,1,,,1
0x862E54,,_ZTV22CAEFrontendAudioEntity,`vtable for'CAEFrontendAudioEntity,,,1,,,1
0x862E58,,_ZTV20CAEScriptAudioEntity,`vtable for'CAEScriptAudioEntity,,,1,,,1
0x862E5C,,_ZTV26CAEGlobalWeaponAudioEntity,`vtable for'CAEGlobalWeaponAudioEntity,,,1,,,1
0x862E60,,_ZTV23CAEExplosionAudioEntity,`vtable for'CAEExplosionAudioEntity,,,1,,,1
0x862E64,,_ZTV23CAECollisionAudioEntity,`vtable for'CAECollisionAudioEntity,,,1,,,1
0x862E68,,_ZTV20CAEWeaponAudioEntity,`vtable for'CAEWeaponAudioEntity,,,1,,,1
0x862E70,,_ZTV17CBugstarInterface,`vtable for'CBugstarInterface,,,1,,,1
0x8630E8,,__vt__CCamera,_CCamera::`vtbl',,,1,,,1
0x8638C0,,_ZTV6CDummy,`vtable for'CDummy,,,1,,,1
0x863928,,_ZTV7CEntity,`vtable for'CEntity,,,1,,,1
0x863984,,gfGravitation,gfGravitation,,,1,,,1
0x8639B0,,_ZTV17CAnimatedBuilding,`vtable for'CAnimatedBuilding,,,1,,,1
0x863BA0,,_ZTV9CPhysical,`vtable for'CPhysical,,,1,,,1
0x863C40,,_ZTV10CPlaceable,`vtable for'CPlaceable,,,1,,,1
0x866B70,,CRadar::radarScreenHeight,CRadar__radarScreenHeight,,,1,,,1
0x866B74,,CRadar::radarScreenY,CRadar__radarScreenY,,,1,,,1
0x866B78,,CRadar::radarScreenWidth,CRadar__radarScreenWidth,,,1,,,1
0x866B80,,fPi,fPi,,,1,,,1
0x866DB0,,_ZTV15CBugstarNetwork,`vtable for'CBugstarNetwork,,,1,,,1
0x866DC4,,_ZTV10CNetworkPC,`vtable for'CNetworkPC,,,1,,,1
0x866E78,,_ZTV12CDummyObject,`vtable for'CDummyObject,,,1,,,1
0x866EE0,,_ZTV11CHandObject,`vtable for'CHandObject,,,1,,,1
0x866F60,,_ZTV7CObject,`vtable for'CObject,,,1,,,1
0x867030,,_ZTV11CProjectile,`vtable for'CProjectile,,,1,,,1
0x867170,,_ZTV8COctTree,`vtable for'COctTree,,,1,,,1
0x867178,,_ZTV12COctTreeBase,`vtable for'COctTreeBase,,,1,,,1
0x868A60,,_ZTV15CCutsceneObject,`vtable for'CCutsceneObject,,,1,,,1
0x86C0A8,,_ZTV12CCivilianPed,`vtable for'CCivilianPed,,,1,,,1
0x86C120,,_ZTV7CCopPed,`vtable for'CCopPed,,,1,,,1
0x86C198,,_ZTV9CDummyPed,`vtable for'CDummyPed,,,1,,,1
0x86C200,,_ZTV13CEmergencyPed,`vtable for'CEmergencyPed,,,1,,,1
0x86C2A8,,_ZTV18CPedCollisionAudio,`vtable for'CPedCollisionAudio,,,1,,,1
0x86C2AC,,_ZTV12CWeaponAudio,`vtable for'CWeaponAudio,,,1,,,1
0x86C2B0,,_ZTV16CEventSoundQuiet,`vtable for'CEventSoundQuiet,,,1,,,1
0x86C358,,_ZTV4CPed,`vtable for'CPed,,,1,,,1
0x86C538,,_ZTV13CPedAttractor,`vtable for'CPedAttractor,,,1,,,1
0x86C550,,_ZTV16CPedAtmAttractor,`vtable for'CPedAtmAttractor,,,1,,,1
0x86C568,,_ZTV17CPedSeatAttractor,`vtable for'CPedSeatAttractor,,,1,,,1
0x86C580,,_ZTV17CPedStopAttractor,`vtable for'CPedStopAttractor,,,1,,,1
0x86C598,,_ZTV18CPedPizzaAttractor,`vtable for'CPedPizzaAttractor,,,1,,,1
0x86C5B4,,_ZTV20CPedShelterAttractor,`vtable for'CPedShelterAttractor,,,1,,,1
0x86C5CC,,_ZTV26CPedTriggerScriptAttractor,`vtable for'CPedTriggerScriptAttractor,,,1,,,1
0x86C5E4,,_ZTV19CPedLookAtAttractor,`vtable for'CPedLookAtAttractor,,,1,,,1
0x86C5FC,,_ZTV21CPedScriptedAttractor,`vtable for'CPedScriptedAttractor,,,1,,,1
0x86C614,,_ZTV17CPedParkAttractor,`vtable for'CPedParkAttractor,,,1,,,1
0x86C62C,,_ZTV17CPedStepAttractor,`vtable for'CPedStepAttractor,,,1,,,1
0x86C6D0,,_ZTV23CEventCreatePartnerTask,`vtable for'CEventCreatePartnerTask,,,1,,,1
0x86C710,,_ZTV32CEventPlayerCommandToGroupAttack,`vtable for'CEventPlayerCommandToGroupAttack,,,1,,,1
0x86C754,,_vmt_86C754,_vmt_86C754,,,1,,,1
0x86C75C,,_vmt_86C75C,_vmt_86C75C,,,1,,,1
0x86C764,,_vmt_86C764,_vmt_86C764,,,1,,,1
0x86C76C,,_vmt_86C76C,_vmt_86C76C,,,1,,,1
0x86C774,,_vmt_86C774,_vmt_86C774,,,1,,,1
0x86C77C,,_vmt_86C77C,_vmt_86C77C,,,1,,,1
0x86C784,,_vmt_86C784,_vmt_86C784,,,1,,,1
0x86C78C,,_ZTV15CTaskSimpleChat,`vtable for'CTaskSimpleChat,,,1,,,1
0x86C7BC,,_ZTV19CTaskComplexBeStill,`vtable for'CTaskComplexBeStill,,,1,,,1
0x86C7E8,,_ZTV40CTaskSimpleWaitUntilLeaderAreaCodesMatch,`vtable for'CTaskSimpleWaitUntilLeaderAreaCodesMatch,,,1,,,1
0x86C80C,,_vmt_CTaskAllocator_86C80C,_vmt_CTaskAllocator_86C80C,,,1,,,1
0x86C888,,f_0_52359879,f_0_52359879,,,1,,,1
0x86C970,,_ZTV28CEventPedCollisionWithPlayer,`vtable for'CEventPedCollisionWithPlayer,,,1,,,1
0x86C9B0,,_ZTV28CEventPlayerCollisionWithPed,`vtable for'CEventPlayerCollisionWithPed,,,1,,,1
0x86C9F0,,_ZTV23CEventScriptedAttractor,`vtable for'CEventScriptedAttractor,,,1,,,1
0x86CA38,,_ZTV28CEventAcquaintancePedRespect,`vtable for'CEventAcquaintancePedRespect,,,1,,,1
0x86CA80,,_ZTV25CEventAcquaintancePedLike,`vtable for'CEventAcquaintancePedLike,,,1,,,1
0x86CAC8,,_ZTV28CEventAcquaintancePedDislike,`vtable for'CEventAcquaintancePedDislike,,,1,,,1
0x86CB10,,_ZTV33CEventAcquaintancePedHateBadlyLit,`vtable for'CEventAcquaintancePedHateBadlyLit,,,1,,,1
0x86CB58,,_ZTV13CEventSeenCop,`vtable for'CEventSeenCop,,,1,,,1
0x86CBA0,,_ZTV15CEventHealthLow,`vtable for'CEventHealthLow,,,1,,,1
0x86CBE8,,_ZTV21CEventHealthReallyLow,`vtable for'CEventHealthReallyLow,,,1,,,1
0x86CC30,,_ZTV22CEventLowAngerAtPlayer,`vtable for'CEventLowAngerAtPlayer,,,1,,,1
0x86CC78,,_ZTV23CEventHighAngerAtPlayer,`vtable for'CEventHighAngerAtPlayer,,,1,,,1
0x86CCC0,,_ZTV12CEventOnFire,`vtable for'CEventOnFire,,,1,,,1
0x86CD00,,_ZTV15CEventEscalator,`vtable for'CEventEscalator,,,1,,,1
0x86CD40,,__vt__CEntityScanner,_CEntityScanner::`vtbl',,,1,,,1
0x86D0A0,,_ZTV19CEventNewGangMember,`vtable for'CEventNewGangMember,,,1,,,1
0x86D0E0,,_ZTV25CEventDontJoinPlayerGroup,`vtable for'CEventDontJoinPlayerGroup,,,1,,,1
0x86D120,,_ZTV32CEventPlayerCommandToGroupGather,`vtable for'CEventPlayerCommandToGroupGather,,,1,,,1
0x86D168,,_ZTV10CPlayerPed,`vtable for'CPlayerPed,,,1,,,1
0x86D48C,,_ZTV5CTask,`vtable for'CTask,,,1,,,1
0x86D4A8,,_ZTV11CTaskSimple,`vtable for'CTaskSimple,,,1,,,1
0x86D4CC,,_ZTV12CTaskComplex,`vtable for'CTaskComplex,,,1,,,1
0x86D504,,_ZTV15CTaskSimpleAnim,`vtable for'CTaskSimpleAnim,,,1,,,1
0x86D528,,_ZTV18CTaskSimpleRunAnim,`vtable for'CTaskSimpleRunAnim,,,1,,,1
0x86D54C,,_ZTV23CTaskSimpleRunNamedAnim,`vtable for'CTaskSimpleRunNamedAnim,,,1,,,1
0x86D570,,_ZTV23CTaskSimpleRunTimedAnim,`vtable for'CTaskSimpleRunTimedAnim,,,1,,,1
0x86D594,,_ZTV30CTaskSimpleRunAnimLoopedMiddle,`vtable for'CTaskSimpleRunAnimLoopedMiddle,,,1,,,1
0x86D5B8,,_ZTV29CTaskSimplePlayHandSignalAnim,`vtable for'CTaskSimplePlayHandSignalAnim,,,1,,,1
0x86D5DC,,_ZTV30CTaskComplexPlayHandSignalAnim,`vtable for'CTaskComplexPlayHandSignalAnim,,,1,,,1
0x86D640,,_ZTV25CEventVehicleDamageWeapon,`vtable for'CEventVehicleDamageWeapon,,,1,,,1
0x86D684,,_ZTV16CTaskSimpleFight,`vtable for'CTaskSimpleFight,,,1,,,1
0x86D700,,_ZTV26CTaskSimpleFightingControl,`vtable for'CTaskSimpleFightingControl,,,1,,,1
0x86D724,,_ZTV17CTaskSimpleUseGun,`vtable for'CTaskSimpleUseGun,,,1,,,1
0x86D76C,,_ZTV21CTaskSimpleGunControl,`vtable for'CTaskSimpleGunControl,,,1,,,1
0x86D790,,_ZTV26CTaskSimpleThrowProjectile,`vtable for'CTaskSimpleThrowProjectile,,,1,,,1
0x86D7B4,,_ZTV23CTaskSimpleThrowControl,`vtable for'CTaskSimpleThrowControl,,,1,,,1
0x86D7D8,,_ZTV27CTaskSimpleBeKickedOnGround,`vtable for'CTaskSimpleBeKickedOnGround,,,1,,,1
